Palestra,AI summary,Data e horário,Modalidade,Nome da Sessão,Palestra (min),Palestrante,Perguntas (min),Sessão #
,,7 de novembro de 2024 10:00 (BRT) → 10:30,,Debate,30,,30,1
Glaucoma como modelo de quebra dos ritmos biológicos: impacto sobre a regulação dos relógios periféricos,,7 de novembro de 2024 9:00 (BRT) → 9:20,Presencial,Sincronização Circadiana pela Luz e seus Impactos,20,Maria Nathália Moraes,0,1
Coffee Break 3,,8 de novembro de 2024 10:00 (BRT) → 10:30,Presencial,—,30,Coffee Break,,-
—,,8 de novembro de 2024 11:15 (BRT) → 11:15,,—,2,Moderador,0,5
A pororoca visual: Estudos Funcionais do núcleo geniculado lateral em Humanos,,8 de novembro de 2024 10:30 (BRT) → 11:15,Presencial,"Ver, na Ponta de um Eletrodo",30,Sergio Neuenschwander,15,4
"Coerente para quem? Um padrão não esperado de sincronização no córtex visual  ",,8 de novembro de 2024 9:15 (BRT) → 10:00,Presencial,"Ver, na Ponta de um Eletrodo",30, Bruss Lima,15,4
"Visão e ação, ou vice-versa ",,8 de novembro de 2024 11:15 (BRT) → 12:00,Presencial,Visão Ativa: A Percepção em Ação,30,Gustavo Rohenkohl,15,5
Importância dos ocelos e DRA para as abelhas navegarem sob diferentes condições de luz,,8 de novembro de 2024 14:00 (BRT) → 14:40,Online,"Sistemas Visuais e Ecologia Comportamental ",30,Priscila Araújo,10,6
ALMOÇO,,8 de novembro de 2024 12:45 (BRT) → 14:00,Presencial,ALMOÇO,90,_,,-
Sinais visuais florais e percepção em polinizadores,,8 de novembro de 2024 14:40 (BRT) → 15:20,Presencial,"Sistemas Visuais e Ecologia Comportamental ",30,Letícia Carvalho Boratto,10,6
"Fáceis de ver, difíceis de comer: o papel da reflectância de UV na detecção e predação de girinos por uma ave passeriforme",,8 de novembro de 2024 15:20 (BRT) → 16:00,Presencial,"Sistemas Visuais e Ecologia Comportamental ",30, Italo Moreira Martins,10,6
Encerramento,,8 de novembro de 2024 17:45 (BRT) → 18:00,Presencial,Encerramento e Premiações,30,,,-
Coffee Break 4,,8 de novembro de 2024 16:00 (BRT) → 16:30,Presencial,-,30,Coffee Break,,-
Vendo com novos olhos: como o sistema visual ajudou a investigar o comportamento sexual do peixe Poecilia vivipara?,,8 de novembro de 2024 16:30 (BRT) → 17:00,Online,"Sistemas Visuais e Ecologia Comportamental ",20,Clara Massote Pidner,10,6
Entre o céu e a terra: segregação e integração visual no protocérebro da abelha,,8 de novembro de 2024 17:00 (BRT) → 17:45,Presencial,"Sistemas Visuais e Ecologia Comportamental ",30,Theo Mota,15,6
Visão Dinâmica: Por que ainda Medimos o Estático em um Mundo em Movimento?,,8 de novembro de 2024 12:00 (BRT) → 12:45,Presencial,Visão Ativa: A Percepção em Ação,30,Ricardo Guimarães,15,5
DIA #2,,,,DIA #2,,,,
—,,7 de novembro de 2024 11:00 (BRT) → 11:45,Presencial,Neuroproteção: Inovações em Neuroftalmologia e Terapia Gênica,2,Moderador,0,2
—,,7 de novembro de 2024 14:00 (BRT) → 14:50,Presencial,Visão e Saúde Mental,2,Moderador,0,3
—,,8 de novembro de 2024 8:30 (BRT) → 9:15,Presencial,"Ver, na Ponta de um Eletrodo",2,Moderador,0,4
DIA #1,,,,DIA #1,,,,
,,,,,,,,
